flight_number,origin_station_code,destination_station_code,score,satisfaction_type,arrival_delay_minutes,cabin_name,fleet_type_description,seat_factor_band,loyalty_program_level,fleet_usage,haul_type
1185,IAX,MSX,1.0,Dissatisfied,1,Economy,B737-900,80+,non-elite,Mainline,Short
5153,DEX,GCX,3.0,Dissatisfied,-14,Economy,CRJ-200,80+,non-elite,Express,Short
266,CLX,ORX,2.0,Dissatisfied,-14,Economy,B737-800,90+,non-elite,Mainline,Short
5290,ORX,CLX,5.0,Satisfied,2,Economy,CRJ-700,90+,premier platinum,Express,Short
2295,MFX,IAX,2.0,Dissatisfied,-14,Economy,A320-200,90+,non-elite,Mainline,Short
3426,PIX,EWX,1.0,Dissatisfied,-8,Economy Plus,ERJ-175,90+,premier silver,Express,Short
3509,PIX,EWX,3.0,Dissatisfied,-31,Economy,ERJ-175,90+,,Express,Short
3494,PIX,EWX,1.0,Dissatisfied,-8,Economy Plus,ERJ-170,90+,premier platinum,Express,Short
3911,LEX,ORX,4.0,Satisfied,-19,Economy,CRJ-200,80+,non-elite,Express,Short
2360,IAX,BDX,2.0,Dissatisfied,-9,,A319-100,80+,premier silver,Mainline,Short
432,BDX,IAX,5.0,Satisfied,-20,,A319-100,80+,non-elite,Mainline,Short
2360,IAX,BDX,4.0,Satisfied,-9,Economy,A319-100,80+,,Mainline,Short
5331,SFX,MFX,5.0,Satisfied,-24,Economy,ERJ-175,80+,,Express,Short
2420,MFX,SFX,4.0,Satisfied,-18,Economy,B737-800,0 to 70,,Mainline,Short
2321,ORX,MSX,1.0,Dissatisfied,-17,,B737-MAX9,80+,premier silver,Mainline,Short
1963,ORX,MSX,3.0,Dissatisfied,-14,Economy,A320-200,90+,non-elite,Mainline,Short
2329,ORX,MSX,4.0,Satisfied,-2,,A319-100,90+,non-elite,Mainline,Short
2329,ORX,MSX,2.0,Dissatisfied,-2,Economy Plus,A319-100,90+,non-elite,Mainline,Short
635,ORX,MSX,1.0,Dissatisfied,-8,Economy Plus,A320-200,80+,premier silver,Mainline,Short
2321,ORX,MSX,2.0,Dissatisfied,-17,Economy,B737-MAX9,80+,non-elite,Mainline,Short
2376,MSX,ORX,3.0,Dissatisfied,237,,A320-200,0 to 70,premier 1k,Mainline,Short
1251,LAX,SFX,3.0,Dissatisfied,-4,Economy,B757-200,90+,non-elite,Mainline,Short
1979,SFX,LAX,,Unknown,-15,,B737-900,90+,non-elite,Mainline,Short
1297,LAX,SFX,5.0,Satisfied,112,Economy Plus,B737-900,0 to 70,non-elite,Mainline,Short
1979,SFX,LAX,2.0,Dissatisfied,-15,,B737-900,90+,non-elite,Mainline,Short
1598,LAX,SFX,3.0,Dissatisfied,4,Economy,A319-100,70+,non-elite,Mainline,Short
2036,LAX,SFX,3.0,Dissatisfied,-16,Economy,B737-900,90+,,Mainline,Short
593,DEX,ABX,4.0,Satisfied,9,Economy,A320-200,90+,premier silver,Mainline,Short
2241,ONX,SFX,3.0,Dissatisfied,23,,B737-800,80+,non-elite,Mainline,Short
3797,IAX,DAX,5.0,Satisfied,15,Economy,CRJ-200,90+,premier silver,Express,Short
2048,SFX,SNX,2.0,Dissatisfied,-7,Economy Plus,B737-800,90+,premier silver,Mainline,Short
2048,SFX,SNX,3.0,Dissatisfied,-7,Economy,B737-800,90+,,Mainline,Short
391,SNX,SFX,2.0,Dissatisfied,-12,Economy Plus,A319-100,90+,non-elite,Mainline,Short
4313,IAX,CVX,2.0,Dissatisfied,-24,Economy,ERJ-145,80+,non-elite,Express,Short
5717,LAX,RNX,3.0,Dissatisfied,-1,Economy,CRJ-200,90+,,Express,Short
2081,IAX,OKX,3.0,Dissatisfied,70,Economy,A320-200,70+,non-elite,Mainline,Short
5265,OKX,IAX,3.0,Dissatisfied,2,Economy,CRJ-200,90+,non-elite,Express,Short
1698,ORX,MCX,3.0,Dissatisfied,-16,Economy,B737-800,0 to 70,non-elite,Mainline,Short
1433,JAX,DEX,3.0,Dissatisfied,3,Economy,A319-100,90+,non-elite,Mainline,Short
284,BNX,ORX,3.0,Dissatisfied,1,Economy Plus,B737-700,90+,premier 1k,Mainline,Short
1128,PIX,ORX,4.0,Satisfied,-22,Economy,A320-200,90+,,Mainline,Short
5596,SFX,OTX,3.0,Dissatisfied,78,Economy Plus,ERJ-175,90+,,Express,Short
1471,BOX,IAX,2.0,Dissatisfied,135,,B737-MAX9,0 to 70,premier 1k,Mainline,Short
689,IAX,BOX,5.0,Satisfied,32,Economy Plus,B737-900,90+,non-elite,Mainline,Short
2263,LAX,SFX,3.0,Dissatisfied,-9,Economy,B737-800,90+,,Mainline,Short
1693,OMX,ORX,5.0,Satisfied,-12,Economy,A320-200,90+,non-elite,Mainline,Short
4249,DEX,LNX,3.0,Dissatisfied,38,Economy,ERJ-145,90+,non-elite,Express,Short
4291,IAX,MOX,4.0,Satisfied,-17,Economy,ERJ-145,90+,non-elite,Express,Short
1628,IAX,MAX,5.0,Satisfied,11,Economy,A319-100,0 to 70,,Mainline,Short
5423,ORX,YYX,4.0,Satisfied,4,,ERJ-175,70+,non-elite,Express,Short
4366,XNX,IAX,1.0,Dissatisfied,-13,Economy Plus,ERJ-145,90+,non-elite,Express,Short
2429,IAX,CHX,4.0,Satisfied,-10,Economy Plus,A319-100,80+,premier 1k,Mainline,Short
6082,IAX,CHX,3.0,Dissatisfied,-14,Economy,ERJ-175,90+,non-elite,Express,Short
3427,BTX,IAX,5.0,Satisfied,-9,Economy,ERJ-170,0 to 70,,Express,Short
3674,IAX,BTX,4.0,Satisfied,-10,Economy,ERJ-175,80+,non-elite,Express,Short
3641,EWX,YQX,3.0,Dissatisfied,1,Economy,ERJ-175,80+,,Express,Short
4602,GSX,EWX,3.0,Dissatisfied,59,,CRJ-550,90+,premier platinum,Express,Short
2642,SFX,SAX,3.0,Dissatisfied,-11,Economy Plus,A320-200,90+,non-elite,Mainline,Short
1042,SFX,SAX,3.0,Dissatisfied,10,,B737-MAX9,70+,premier 1k,Mainline,Short
261,SFX,EUX,3.0,Dissatisfied,-5,Economy,A319-100,90+,non-elite,Mainline,Short
6044,IAX,SDX,3.0,Dissatisfied,-33,Economy,ERJ-175,90+,,Express,Short
5220,IDX,DEX,3.0,Dissatisfied,-3,Economy Plus,ERJ-175,90+,non-elite,Express,Short
3454,EWX,CMX,5.0,Satisfied,-17,Economy Plus,ERJ-175,90+,non-elite,Express,Short
5542,SFX,RDX,1.0,Dissatisfied,-9,Economy,CRJ-700,90+,non-elite,Express,Short
2079,OMX,DEX,5.0,Satisfied,-22,Economy Plus,A320-200,90+,non-elite,Mainline,Short
2656,OMX,DEX,4.0,Satisfied,-2,Economy Plus,B737-900,90+,non-elite,Mainline,Short
588,BUX,ORX,2.0,Dissatisfied,-21,Economy,B737-900,80+,,Mainline,Short
5559,ORX,BUX,2.0,Dissatisfied,-7,Economy,CRJ-200,90+,premier silver,Express,Short
3653,INX,IAX,4.0,Satisfied,-17,Economy,ERJ-175,90+,non-elite,Express,Short
5379,DEX,FSX,5.0,Satisfied,-11,Economy,CRJ-200,90+,non-elite,Express,Short
3484,EWX,DTX,3.0,Dissatisfied,-8,Economy,ERJ-170,90+,non-elite,Express,Short
1592,EWX,DTX,2.0,Dissatisfied,59,Economy Plus,B737-700,90+,non-elite,Mainline,Short
3572,EWX,DTX,1.0,Dissatisfied,-14,Economy,ERJ-175,90+,,Express,Short
1404,IAX,PNX,1.0,Dissatisfied,19,Economy,A319-100,90+,,Mainline,Short
3486,YUX,IAX,1.0,Dissatisfied,-18,Economy,ERJ-170,0 to 70,,Express,Short
5536,MEX,ORX,3.0,Dissatisfied,-11,,ERJ-175,90+,premier silver,Express,Short
786,PWX,IAX,1.0,Dissatisfied,-9,Economy,A319-100,0 to 70,non-elite,Mainline,Short
4802,DEX,OKX,5.0,Satisfied,3,Economy,CRJ-200,90+,non-elite,Express,Short
5842,DEX,OKX,1.0,Dissatisfied,-7,Economy,CRJ-200,90+,,Express,Short
3635,SAX,IAX,3.0,Dissatisfied,12,Economy,ERJ-175,70+,,Express,Medium
3635,SAX,IAX,4.0,Satisfied,12,Economy,ERJ-175,70+,,Express,Medium
3635,SAX,IAX,2.0,Dissatisfied,12,,ERJ-175,70+,premier 1k,Express,Medium
3786,XNX,ORX,4.0,Satisfied,3,Economy,CRJ-200,90+,non-elite,Express,Medium
5766,SFX,BOX,1.0,Dissatisfied,-15,Economy,CRJ-200,90+,,Express,Medium
1270,DEX,BZX,3.0,Dissatisfied,-22,,A319-100,70+,,Mainline,Medium
3909,ORX,SCX,5.0,Satisfied,-20,Economy,CRJ-200,80+,,Express,Medium
3834,SCX,ORX,5.0,Satisfied,-27,Economy,CRJ-200,80+,,Express,Medium
777,EWX,CLX,1.0,Dissatisfied,16,Economy Plus,A320-200,90+,premier silver,Mainline,Medium
777,EWX,CLX,4.0,Satisfied,16,Economy Plus,A320-200,90+,non-elite,Mainline,Medium
3447,CLX,EWX,5.0,Satisfied,1,,ERJ-175,90+,non-elite,Express,Medium
482,ROX,ORX,5.0,Satisfied,-26,Economy,A320-200,70+,non-elite,Mainline,Medium
2340,IAX,ATX,3.0,Dissatisfied,-10,Economy,A319-100,90+,,Mainline,Medium
1150,DEX,TUX,4.0,Satisfied,-13,,B737-900,0 to 70,premier 1k,Mainline,Medium
445,BNX,IAX,5.0,Satisfied,-12,Economy,B737-800,0 to 70,,Mainline,Medium
2334,SFX,PDX,5.0,Satisfied,-19,Economy,A320-200,90+,premier silver,Mainline,Medium
1791,EWX,MYX,2.0,Dissatisfied,-23,Economy,A320-200,80+,non-elite,Mainline,Medium
1658,MYX,EWX,2.0,Dissatisfied,-24,Economy,A320-200,90+,non-elite,Mainline,Medium
243,PDX,SFX,1.0,Dissatisfied,-3,Economy,A319-100,90+,,Mainline,Medium
1658,MYX,EWX,4.0,Satisfied,-24,Economy,A320-200,90+,non-elite,Mainline,Medium
1443,EWX,MYX,2.0,Dissatisfied,24,Economy Plus,A320-200,80+,premier gold,Mainline,Medium
5567,LAX,ACX,5.0,Satisfied,14,Economy,CRJ-200,90+,non-elite,Express,Medium
2002,ELX,DEX,4.0,Satisfied,-3,,A320-200,90+,premier platinum,Mainline,Medium
4729,GSX,ORX,5.0,Satisfied,-12,Economy,ERJ-175,90+,,Express,Medium
1299,DEX,DSX,3.0,Dissatisfied,-16,,B737-900,80+,non-elite,Mainline,Medium
2609,IAX,ORX,5.0,Satisfied,-18,Economy,B767-400,90+,,Mainline,Medium
466,DEX,DSX,2.0,Dissatisfied,-10,Economy,A320-200,80+,,Mainline,Medium
2609,IAX,ORX,1.0,Dissatisfied,-18,,B767-400,90+,non-elite,Mainline,Medium
701,ORX,IAX,2.0,Dissatisfied,32,,A320-200,0 to 70,non-elite,Mainline,Medium
1866,ORX,IAX,4.0,Satisfied,16,Economy,B737-900,90+,non-elite,Mainline,Medium
4799,LAX,SLX,3.0,Dissatisfied,-16,,ERJ-175,70+,premier silver,Express,Medium
1886,SLX,SFX,2.0,Dissatisfied,-19,Economy,B737-900,70+,,Mainline,Medium
1846,DEX,PHX,3.0,Dissatisfied,-14,,B737-MAX8,90+,non-elite,Mainline,Medium
2355,PHX,DEX,2.0,Dissatisfied,-10,Economy,B737-900,90+,non-elite,Mainline,Medium
489,DEX,PHX,2.0,Dissatisfied,-17,Economy Plus,A320-200,80+,premier platinum,Mainline,Medium
5354,MOX,DEX,1.0,Dissatisfied,-24,Economy,CRJ-200,90+,non-elite,Express,Medium
3659,GRX,EWX,5.0,Satisfied,8,Economy Plus,ERJ-170,90+,premier silver,Express,Medium
1615,ORX,ATX,4.0,Satisfied,-14,Economy Plus,A319-100,90+,non-elite,Mainline,Medium
1615,ORX,ATX,3.0,Dissatisfied,-14,Economy,A319-100,90+,,Mainline,Medium
2234,SYX,ORX,3.0,Dissatisfied,-10,Economy,B737-900,70+,,Mainline,Medium
3489,ORX,DCX,1.0,Dissatisfied,-17,,ERJ-170,90+,premier gold,Express,Medium
5496,DCX,ORX,1.0,Dissatisfied,-30,,ERJ-175,90+,,Express,Medium
591,BWX,ORX,3.0,Dissatisfied,-16,Economy Plus,A320-200,90+,non-elite,Mainline,Medium
4707,FAX,DEX,3.0,Dissatisfied,-31,Economy,CRJ-200,90+,,Express,Medium
1438,EWX,CHX,3.0,Dissatisfied,-7,Economy,B737-900,90+,,Mainline,Medium
1075,LAX,DEX,2.0,Dissatisfied,2,Economy,A320-200,90+,premier silver,Mainline,Medium
1261,LAX,DEX,3.0,Dissatisfied,-15,,B737-900,90+,premier silver,Mainline,Medium
1075,LAX,DEX,3.0,Dissatisfied,2,Economy Plus,A320-200,90+,,Mainline,Medium
431,DEX,LAX,1.0,Dissatisfied,-2,Economy,B737-900,90+,non-elite,Mainline,Medium
2465,IAX,JAX,4.0,Satisfied,6,Economy,A319-100,90+,,Mainline,Medium
4956,SGX,DEX,4.0,Satisfied,14,Economy,ERJ-145,90+,non-elite,Express,Medium
558,DFX,DEX,3.0,Dissatisfied,-10,,A320-200,90+,non-elite,Mainline,Medium
2601,DFX,DEX,2.0,Dissatisfied,90,Economy,A319-100,90+,,Mainline,Medium
3559,EWX,INX,1.0,Dissatisfied,-12,Economy,ERJ-175,90+,non-elite,Express,Medium
3548,EWX,INX,5.0,Satisfied,-33,Economy,ERJ-170,90+,,Express,Medium
1883,ORX,RDX,2.0,Dissatisfied,-11,Economy,B737-700,90+,non-elite,Mainline,Medium
3705,ORX,RDX,1.0,Dissatisfied,-1,,ERJ-175,90+,premier 1k,Express,Medium
2349,RDX,ORX,2.0,Dissatisfied,9,Economy Plus,A319-100,90+,,Mainline,Medium
1478,BOX,DEX,2.0,Dissatisfied,9,Economy,B737-800,90+,non-elite,Mainline,Medium
498,DEX,BOX,4.0,Satisfied,-15,Economy Plus,B737-800,90+,premier gold,Mainline,Medium
522,SFX,PHX,2.0,Dissatisfied,231,Economy,B737-800,90+,non-elite,Mainline,Medium
522,SFX,PHX,2.0,Dissatisfied,231,Economy Plus,B737-800,90+,premier silver,Mainline,Medium
2093,SFX,PHX,3.0,Dissatisfied,1,Economy Plus,A320-200,90+,premier gold,Mainline,Medium
3934,ORX,CAX,4.0,Satisfied,-17,Economy,CRJ-200,90+,non-elite,Express,Medium
691,SEX,SFX,5.0,Satisfied,-18,Economy,A319-100,90+,non-elite,Mainline,Medium
1274,SFX,SEX,3.0,Dissatisfied,1,,A319-100,90+,non-elite,Mainline,Medium
5469,SFX,SEX,4.0,Satisfied,-9,,ERJ-175,90+,premier gold,Express,Medium
2290,ORX,PHX,1.0,Dissatisfied,1,,B737-900,90+,non-elite,Mainline,Medium
640,DEX,MSX,1.0,Dissatisfied,-14,,B737-800,80+,premier platinum,Mainline,Medium
2412,MSX,DEX,5.0,Satisfied,-12,Economy Plus,B737-800,70+,non-elite,Mainline,Medium
2273,MSX,DEX,3.0,Dissatisfied,10,,B737-MAX9,90+,premier 1k,Mainline,Medium
2617,IAX,ATX,1.0,Dissatisfied,-9,Economy Plus,A320-200,90+,premier platinum,Mainline,Medium
309,ATX,IAX,4.0,Satisfied,-8,Economy,B737-900,90+,,Mainline,Medium
484,DEX,CIX,3.0,Dissatisfied,-16,Economy Plus,A319-100,90+,,Mainline,Medium
1954,SAX,EWX,4.0,Satisfied,-5,Economy Plus,A320-200,90+,global services,Mainline,Medium
3556,SAX,EWX,2.0,Dissatisfied,-25,,ERJ-175,90+,premier gold,Express,Medium
2315,IAX,QRX,2.0,Dissatisfied,-18,Economy,A319-100,90+,,Mainline,Medium
1008,ORX,ORX,3.0,Dissatisfied,-3,Economy,A319-100,90+,,Mainline,Medium
1428,MIX,IAX,2.0,Dissatisfied,234,Economy,B737-800,0 to 70,non-elite,Mainline,Medium
2237,ORX,ORX,1.0,Dissatisfied,-10,,B737-900,90+,premier platinum,Mainline,Medium
1503,EWX,ORX,5.0,Satisfied,-17,Economy Plus,B757-200,90+,,Mainline,Medium
1613,EWX,ORX,4.0,Satisfied,3,Economy Plus,B737-MAX8,90+,,Mainline,Medium
1673,ORX,EWX,5.0,Satisfied,-21,Economy Plus,B737-900,90+,premier gold,Mainline,Medium
3619,MKX,EWX,1.0,Dissatisfied,-3,,ERJ-175,90+,premier silver,Express,Medium
2119,IAX,BJX,4.0,Satisfied,-26,Economy,A319-100,90+,non-elite,Mainline,Medium
1892,ORX,LGX,2.0,Dissatisfied,-12,,B737-800,90+,premier gold,Mainline,Medium
1826,ORX,LGX,5.0,Satisfied,-16,Economy,A320-200,90+,non-elite,Mainline,Medium
2101,LGX,ORX,1.0,Dissatisfied,-20,Economy Plus,A320-200,90+,non-elite,Mainline,Medium
5380,ASX,LAX,3.0,Dissatisfied,-32,Economy,CRJ-700,70+,non-elite,Express,Medium
1580,SFX,JAX,1.0,Dissatisfied,-2,Economy,A319-100,90+,,Mainline,Medium
1682,JAX,SFX,5.0,Satisfied,-8,Economy Plus,A319-100,0 to 70,non-elite,Mainline,Medium
1682,JAX,SFX,1.0,Dissatisfied,-8,Economy,A319-100,0 to 70,premier silver,Mainline,Medium
5508,ORX,HPX,2.0,Dissatisfied,-14,Economy,CRJ-200,90+,,Express,Medium
731,EWX,ATX,2.0,Dissatisfied,-10,Economy,B737-900,80+,,Mainline,Medium
589,ATX,EWX,2.0,Dissatisfied,-20,,B737-800,90+,premier platinum,Mainline,Medium
433,ATX,EWX,1.0,Dissatisfied,-28,Economy Plus,A319-100,90+,premier platinum,Mainline,Medium
322,ATX,EWX,2.0,Dissatisfied,-37,,B737-800,90+,premier gold,Mainline,Medium
322,ATX,EWX,1.0,Dissatisfied,-37,,B737-800,90+,non-elite,Mainline,Medium
6361,VEX,IAX,3.0,Dissatisfied,-20,,ERJ-175,90+,,Express,Medium
2082,ORX,MYX,1.0,Dissatisfied,31,,A320-200,80+,non-elite,Mainline,Medium
2269,IAX,MCX,5.0,Satisfied,54,Economy,B737-MAX9,90+,,Mainline,Medium
1607,MCX,IAX,1.0,Dissatisfied,-13,Economy Plus,B737-900,90+,,Mainline,Medium
2269,IAX,MCX,1.0,Dissatisfied,54,Economy Plus,B737-MAX9,90+,global services,Mainline,Medium
2066,MCX,IAX,5.0,Satisfied,-8,Economy,B737-900,70+,,Mainline,Medium
2265,MCX,IAX,1.0,Dissatisfied,-5,Economy Plus,B737-900,90+,non-elite,Mainline,Medium
567,CHX,ORX,2.0,Dissatisfied,-30,Economy,A319-100,90+,,Mainline,Medium
2629,ORX,CHX,3.0,Dissatisfied,1,Economy,A319-100,90+,,Mainline,Medium
2293,ORX,BTX,4.0,Satisfied,2,Economy Plus,B737-800,80+,premier gold,Mainline,Medium
1025,IAX,MEX,5.0,Satisfied,-5,Economy,B737-700,90+,non-elite,Mainline,Medium
1092,MEX,IAX,3.0,Dissatisfied,18,Economy,B737-700,90+,non-elite,Mainline,Medium
5226,LWX,DEX,3.0,Dissatisfied,-3,Economy,CRJ-200,80+,,Express,Medium
4842,TYX,IAX,4.0,Satisfied,-19,Economy,ERJ-145,90+,non-elite,Express,Medium
5418,SAX,ORX,2.0,Dissatisfied,-1,Economy Plus,ERJ-175,90+,premier platinum,Express,Medium
3547,SAX,ORX,4.0,Satisfied,-9,Economy,ERJ-170,90+,non-elite,Express,Medium
367,DEX,AUX,3.0,Dissatisfied,-12,Economy,A320-200,90+,non-elite,Mainline,Medium
4690,PSX,DEX,1.0,Dissatisfied,-18,Economy,CRJ-200,90+,premier gold,Express,Medium
5432,PSX,DEX,5.0,Satisfied,-21,,ERJ-175,90+,premier 1k,Express,Medium
1986,EWX,BDX,4.0,Satisfied,-11,Economy,B737-800,90+,non-elite,Mainline,Medium
1721,RAX,ORX,3.0,Dissatisfied,-19,Economy,A319-100,0 to 70,premier silver,Mainline,Medium
458,BDX,ORX,2.0,Dissatisfied,-9,Economy,A319-100,90+,non-elite,Mainline,Medium
423,BDX,ORX,3.0,Dissatisfied,-15,Economy Plus,A320-200,80+,premier silver,Mainline,Medium
2094,IAX,TPX,5.0,Satisfied,5,Economy Plus,A319-100,90+,,Mainline,Medium
4897,SHX,DEX,2.0,Dissatisfied,-27,Economy,ERJ-145,90+,non-elite,Express,Medium
5369,ORX,PNX,5.0,Satisfied,-26,Economy,ERJ-175,80+,,Express,Medium
1763,DEX,SAX,2.0,Dissatisfied,-15,Economy,B737-900,80+,non-elite,Mainline,Medium
6289,IAX,MLX,5.0,Satisfied,29,Economy,ERJ-175,70+,non-elite,Express,Medium
1273,SFX,YVX,4.0,Satisfied,13,,B737-800,90+,non-elite,Mainline,Medium
2463,YVX,SFX,3.0,Dissatisfied,-20,,A319-100,80+,,Mainline,Medium
2231,ORX,DFX,5.0,Satisfied,-3,Economy,A319-100,90+,non-elite,Mainline,Medium
1842,ORX,DFX,3.0,Dissatisfied,-18,Economy,A320-200,70+,,Mainline,Medium
2416,RNX,DEX,4.0,Satisfied,-3,Economy Plus,A320-200,90+,non-elite,Mainline,Medium
2416,RNX,DEX,3.0,Dissatisfied,-3,Economy,A320-200,90+,,Mainline,Medium
2399,TPX,IAX,3.0,Dissatisfied,-22,,B737-MAX9,90+,premier 1k,Mainline,Medium
1020,CUX,IAX,,Unknown,-27,Economy,B737-900,0 to 70,,Mainline,Medium
1019,IAX,CUX,3.0,Dissatisfied,-12,Economy Plus,B737-900,90+,global services,Mainline,Medium
1016,CUX,IAX,5.0,Satisfied,-26,Economy,B737-900,0 to 70,,Mainline,Medium
1020,CUX,IAX,1.0,Dissatisfied,-27,Economy,B737-900,0 to 70,,Mainline,Medium
1259,DEX,ONX,4.0,Satisfied,-7,Economy,A320-200,90+,,Mainline,Medium
1956,GDX,IAX,3.0,Dissatisfied,4,Economy,B737-700,90+,non-elite,Mainline,Medium
3418,EWX,JAX,,Unknown,-5,,ERJ-175,90+,non-elite,Express,Medium
