route,flight_hour,flight_day,trip_type,sales_channel,num_passengers,purchase_lead,length_of_stay,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
AKLICN,9,Wed,CircleTrip,Mobile,3,154,45,1,1,1,5.52,0
AKLICN,8,Mon,RoundTrip,Internet,1,24,19,1,0,1,6.62,0
AKLKIX,3,Mon,RoundTrip,Internet,1,2,165,1,0,0,7.0,0
AKLKIX,13,Mon,RoundTrip,Internet,1,26,111,1,0,1,7.0,0
AKLKIX,23,Sun,RoundTrip,Internet,1,32,34,0,0,0,7.0,0
AKLKIX,5,Sun,RoundTrip,Internet,2,57,38,1,0,0,7.0,0
AKLKIX,10,Sun,RoundTrip,Internet,1,198,207,1,0,1,7.0,0
AKLKIX,11,Sat,RoundTrip,Internet,1,23,27,0,0,0,7.0,0
AKLKTM,6,Fri,RoundTrip,Internet,1,33,20,1,0,0,4.75,0
AKLKTM,3,Mon,RoundTrip,Internet,2,120,91,1,0,1,4.75,0
AKLKTM,4,Thu,RoundTrip,Internet,2,69,34,1,0,0,4.75,0
AKLKTM,3,Wed,CircleTrip,Mobile,1,281,18,1,0,0,4.75,0
AKLKTM,19,Tue,CircleTrip,Internet,1,282,18,1,0,0,4.75,0
AKLKTM,3,Wed,RoundTrip,Internet,1,69,21,1,0,0,4.75,0
AKLKTM,10,Tue,OneWay,Internet,1,67,1,1,0,0,4.75,0
AKLKUL,17,Mon,RoundTrip,Internet,1,15,31,0,0,0,8.83,1
AKLKUL,10,Tue,RoundTrip,Internet,1,31,274,1,0,0,8.83,0
AKLKUL,16,Tue,RoundTrip,Internet,1,316,35,1,0,0,8.83,0
AKLKUL,3,Tue,RoundTrip,Internet,2,232,17,1,1,1,8.83,0
AKLKUL,14,Mon,RoundTrip,Internet,1,156,19,1,0,0,8.83,1
AKLKUL,23,Tue,RoundTrip,Internet,1,196,44,1,0,0,8.83,0
AKLKUL,9,Mon,RoundTrip,Internet,1,283,38,1,0,0,8.83,0
AKLKUL,5,Fri,RoundTrip,Internet,1,34,24,1,0,0,8.83,0
AKLKUL,8,Mon,RoundTrip,Mobile,1,63,57,0,0,0,8.83,0
AKLKUL,4,Tue,RoundTrip,Internet,1,5,18,0,0,0,8.83,0
AKLKUL,19,Tue,RoundTrip,Internet,1,6,106,0,0,0,8.83,0
AKLKUL,2,Fri,RoundTrip,Internet,1,227,68,1,1,0,8.83,0
AKLKUL,2,Tue,RoundTrip,Internet,1,181,87,1,0,1,8.83,1
AKLKUL,3,Tue,RoundTrip,Internet,1,8,33,0,0,0,8.83,0
AKLKUL,19,Fri,RoundTrip,Internet,2,138,35,1,0,1,8.83,0
AKLKUL,20,Wed,RoundTrip,Internet,1,134,37,0,1,0,8.83,0
AKLKUL,18,Thu,RoundTrip,Internet,2,8,29,1,0,0,8.83,0
AKLKUL,13,Fri,RoundTrip,Internet,1,23,51,1,0,1,8.83,0
AKLKUL,1,Sun,RoundTrip,Mobile,1,57,21,1,1,1,8.83,0
AKLKUL,0,Mon,RoundTrip,Internet,2,85,19,1,1,0,8.83,0
AKLKUL,23,Sun,RoundTrip,Internet,1,65,31,0,0,0,8.83,0
AKLKUL,13,Tue,OneWay,Internet,1,27,1,1,1,0,8.83,0
AKLKUL,8,Tue,RoundTrip,Internet,1,93,196,1,0,0,8.83,0
AKLKUL,8,Mon,RoundTrip,Mobile,1,16,77,0,0,1,8.83,0
AKLKUL,8,Tue,RoundTrip,Internet,2,118,17,1,0,1,8.83,0
AKLKUL,7,Thu,RoundTrip,Internet,2,90,20,0,0,1,8.83,0
AKLKUL,23,Mon,RoundTrip,Internet,1,168,41,1,0,1,8.83,0
AKLKUL,16,Tue,RoundTrip,Mobile,1,127,17,1,0,1,8.83,1
AKLKUL,6,Mon,RoundTrip,Mobile,2,18,17,1,1,1,8.83,0
AKLKUL,10,Tue,RoundTrip,Internet,1,153,30,1,1,0,8.83,0
AKLKUL,9,Sat,RoundTrip,Internet,1,51,21,1,0,1,8.83,0
AKLKUL,2,Tue,RoundTrip,Internet,2,186,27,1,1,1,8.83,0
AKLKUL,5,Tue,RoundTrip,Internet,1,5,87,1,0,0,8.83,0
AKLKUL,2,Thu,RoundTrip,Internet,1,65,278,0,0,0,8.83,0
AKLKUL,6,Thu,RoundTrip,Internet,1,2,18,1,1,0,8.83,0
AKLKUL,4,Sun,RoundTrip,Internet,1,263,58,0,1,0,8.83,0
AKLKUL,0,Sat,RoundTrip,Internet,6,172,28,0,0,1,8.83,0
AKLKUL,2,Thu,RoundTrip,Internet,1,161,108,1,1,0,8.83,0
AKLKUL,17,Mon,RoundTrip,Internet,4,230,29,1,0,1,8.83,0
AKLKUL,0,Mon,RoundTrip,Internet,1,7,21,0,0,0,8.83,0
AKLKUL,14,Tue,RoundTrip,Internet,1,42,17,0,0,0,8.83,1
AKLKUL,10,Fri,RoundTrip,Internet,1,71,29,1,0,0,8.83,0
AKLKUL,13,Thu,RoundTrip,Internet,1,22,180,1,0,0,8.83,1
AKLKUL,4,Fri,RoundTrip,Internet,1,81,21,1,0,0,8.83,0
AKLKUL,7,Sun,RoundTrip,Internet,2,140,18,1,0,0,8.83,0
AKLKUL,14,Sat,RoundTrip,Mobile,1,42,72,0,0,1,8.83,0
AKLKUL,2,Tue,RoundTrip,Internet,1,168,32,1,1,0,8.83,0
AKLKUL,12,Wed,RoundTrip,Internet,1,285,30,1,1,1,8.83,0
AKLKUL,11,Thu,RoundTrip,Internet,2,179,18,1,0,1,8.83,0
AKLKUL,10,Sat,RoundTrip,Internet,2,341,21,1,0,0,8.83,0
AKLKUL,3,Thu,RoundTrip,Internet,2,96,51,1,0,1,8.83,0
AKLKUL,1,Thu,RoundTrip,Internet,4,173,17,1,0,1,8.83,0
AKLKUL,9,Wed,RoundTrip,Internet,1,180,24,0,1,1,8.83,0
AKLKUL,16,Sun,RoundTrip,Internet,4,366,17,1,0,1,8.83,0
AKLKUL,13,Mon,RoundTrip,Internet,3,229,17,1,1,1,8.83,1
AKLKUL,11,Tue,RoundTrip,Internet,2,174,61,1,0,1,8.83,0
AKLKUL,18,Fri,RoundTrip,Internet,2,82,25,1,0,0,8.83,0
AKLKUL,6,Mon,RoundTrip,Internet,1,75,62,0,0,0,8.83,0
AKLKUL,10,Mon,RoundTrip,Internet,2,163,21,1,0,0,8.83,0
AKLKUL,8,Fri,RoundTrip,Internet,1,105,21,1,0,0,8.83,0
AKLKUL,6,Mon,RoundTrip,Internet,2,276,45,1,0,1,8.83,0
AKLKUL,3,Thu,RoundTrip,Internet,1,35,31,1,0,0,8.83,0
AKLKUL,23,Wed,RoundTrip,Internet,1,110,26,1,0,0,8.83,0
AKLKUL,3,Sat,RoundTrip,Internet,1,83,44,1,0,0,8.83,0
AKLKUL,22,Mon,RoundTrip,Mobile,1,154,25,1,0,0,8.83,0
AKLKUL,1,Tue,RoundTrip,Internet,1,118,19,1,0,1,8.83,0
AKLKUL,22,Wed,RoundTrip,Internet,1,55,20,0,0,0,8.83,0
AKLKUL,1,Sat,RoundTrip,Mobile,1,45,35,0,0,0,8.83,0
AKLKUL,4,Sun,RoundTrip,Internet,1,54,23,0,0,1,8.83,0
AKLKUL,13,Tue,RoundTrip,Internet,1,193,19,0,0,0,8.83,0
AKLKUL,23,Tue,RoundTrip,Internet,1,10,91,1,0,0,8.83,1
AKLKUL,20,Wed,RoundTrip,Internet,1,166,18,1,0,1,8.83,0
AKLKUL,9,Sun,RoundTrip,Internet,1,97,25,1,0,0,8.83,0
AKLKUL,12,Thu,RoundTrip,Internet,5,239,17,1,0,1,8.83,0
AKLKUL,8,Sat,RoundTrip,Internet,2,97,50,1,1,1,8.83,0
AKLKUL,10,Sun,RoundTrip,Internet,1,182,28,0,0,1,8.83,0
AKLKUL,13,Sun,RoundTrip,Internet,1,99,21,0,0,0,8.83,1
AKLKUL,9,Tue,RoundTrip,Internet,1,23,59,1,0,1,8.83,0
AKLKUL,9,Mon,RoundTrip,Mobile,1,53,18,1,1,0,8.83,0
AKLKUL,12,Sat,RoundTrip,Internet,1,28,125,0,0,0,8.83,0
AKLKUL,5,Thu,RoundTrip,Internet,1,384,18,0,0,0,8.83,0
AKLKUL,23,Fri,RoundTrip,Internet,2,22,27,1,0,1,8.83,0
AKLKUL,3,Thu,RoundTrip,Internet,1,70,106,1,0,1,8.83,0
AKLKUL,20,Sun,RoundTrip,Internet,1,126,28,1,0,0,8.83,0
AKLKUL,8,Tue,RoundTrip,Internet,1,8,45,0,0,0,8.83,0
AKLKUL,11,Sun,RoundTrip,Internet,2,51,29,1,0,1,8.83,0
AKLKUL,9,Wed,RoundTrip,Internet,1,142,124,1,0,0,8.83,1
AKLKUL,9,Sat,RoundTrip,Internet,1,87,33,1,0,0,8.83,0
AKLKUL,8,Fri,RoundTrip,Mobile,5,238,21,1,1,1,8.83,0
AKLKUL,0,Sat,RoundTrip,Internet,2,86,34,1,0,0,8.83,0
AKLKUL,20,Sat,RoundTrip,Mobile,1,313,35,1,0,0,8.83,0
AKLKUL,20,Sun,RoundTrip,Internet,2,41,20,1,1,1,8.83,0
AKLKUL,8,Wed,RoundTrip,Internet,1,91,46,1,1,1,8.83,0
AKLKUL,12,Tue,RoundTrip,Mobile,1,41,21,1,0,0,8.83,0
AKLKUL,10,Tue,RoundTrip,Internet,1,82,33,1,0,0,8.83,0
AKLKUL,13,Sun,RoundTrip,Internet,5,206,17,1,0,0,8.83,0
AKLKUL,5,Thu,RoundTrip,Internet,4,6,55,1,1,0,8.83,0
AKLKUL,10,Fri,RoundTrip,Internet,5,197,18,1,0,1,8.83,0
AKLKUL,13,Tue,RoundTrip,Internet,1,34,22,1,0,1,8.83,1
AKLKUL,17,Tue,RoundTrip,Internet,2,112,21,1,0,0,8.83,0
AKLKUL,1,Mon,RoundTrip,Internet,2,268,47,1,0,1,8.83,0
AKLKUL,15,Mon,RoundTrip,Internet,1,157,26,1,0,1,8.83,0
AKLKUL,4,Wed,RoundTrip,Internet,2,145,51,1,1,1,8.83,0
AKLKUL,9,Mon,RoundTrip,Internet,4,241,24,0,0,0,8.83,0
AKLKUL,9,Fri,RoundTrip,Internet,1,172,17,0,0,1,8.83,0
AKLKUL,7,Wed,RoundTrip,Internet,1,99,19,0,0,0,8.83,0
AKLKUL,8,Sun,RoundTrip,Mobile,1,139,22,1,0,1,8.83,0
AKLKUL,13,Sun,RoundTrip,Internet,1,59,35,0,1,0,8.83,1
AKLKUL,9,Mon,RoundTrip,Internet,1,396,23,1,0,1,8.83,0
AKLKUL,23,Tue,RoundTrip,Internet,2,280,18,1,0,1,8.83,0
AKLKUL,10,Tue,RoundTrip,Internet,1,79,23,0,0,0,8.83,0
AKLKUL,21,Wed,RoundTrip,Internet,1,37,26,1,0,0,8.83,0
AKLKUL,17,Sat,RoundTrip,Internet,2,69,19,1,0,0,8.83,0
AKLKUL,21,Thu,RoundTrip,Internet,1,380,21,1,1,0,8.83,0
AKLKUL,13,Sun,RoundTrip,Internet,5,206,17,1,0,0,8.83,0
AKLKUL,1,Wed,RoundTrip,Internet,1,13,27,1,0,1,8.83,0
AKLKUL,2,Fri,RoundTrip,Internet,1,229,31,0,0,1,8.83,0
AKLKUL,9,Mon,RoundTrip,Internet,1,132,20,1,0,0,8.83,0
AKLKUL,6,Sun,RoundTrip,Internet,4,121,18,1,1,1,8.83,0
AKLKUL,14,Thu,RoundTrip,Internet,4,316,22,1,0,0,8.83,1
AKLKUL,2,Tue,RoundTrip,Internet,5,67,35,1,1,1,8.83,1
AKLKUL,16,Sun,RoundTrip,Internet,1,419,21,1,0,0,8.83,0
AKLKUL,2,Mon,RoundTrip,Internet,2,18,46,0,0,0,8.83,0
AKLKUL,12,Wed,RoundTrip,Internet,1,58,21,1,0,1,8.83,0
AKLKUL,6,Wed,RoundTrip,Internet,2,115,87,0,0,0,8.83,0
AKLKUL,6,Fri,RoundTrip,Internet,1,236,91,1,0,1,8.83,0
AKLKUL,6,Tue,RoundTrip,Internet,1,225,25,1,1,0,8.83,1
AKLKUL,15,Thu,RoundTrip,Internet,1,116,56,1,0,0,8.83,0
AKLKUL,7,Sat,RoundTrip,Internet,1,34,90,1,1,0,8.83,0
AKLKUL,11,Sun,RoundTrip,Internet,1,191,60,1,0,1,8.83,0
AKLKUL,7,Sat,RoundTrip,Internet,1,55,22,1,0,0,8.83,0
AKLKUL,2,Sat,RoundTrip,Mobile,1,53,180,1,0,0,8.83,0
AKLKUL,3,Sun,RoundTrip,Internet,1,13,17,0,0,0,8.83,0
AKLKUL,4,Wed,RoundTrip,Internet,1,275,36,1,1,0,8.83,0
AKLKUL,7,Sun,RoundTrip,Internet,1,58,17,1,0,1,8.83,0
AKLKUL,1,Mon,RoundTrip,Internet,2,45,25,0,0,0,8.83,0
AKLKUL,4,Sun,RoundTrip,Internet,2,417,22,1,0,1,8.83,0
AKLKUL,8,Fri,RoundTrip,Internet,2,159,21,1,0,0,8.83,0
AKLKUL,8,Sun,RoundTrip,Internet,2,173,40,0,0,0,8.83,0
AKLKUL,13,Mon,RoundTrip,Internet,2,92,65,1,0,0,8.83,0
AKLKUL,4,Thu,RoundTrip,Internet,1,106,208,1,0,0,8.83,0
AKLKUL,16,Tue,RoundTrip,Internet,3,316,35,0,0,0,8.83,0
AKLKUL,11,Mon,RoundTrip,Internet,2,245,27,0,0,0,8.83,1
AKLKUL,8,Tue,RoundTrip,Internet,3,218,21,0,0,0,8.83,0
AKLKUL,1,Sun,RoundTrip,Internet,1,96,106,1,1,1,8.83,0
AKLKUL,11,Mon,RoundTrip,Internet,1,67,22,0,0,0,8.83,0
AKLKUL,16,Fri,RoundTrip,Internet,1,145,204,1,1,1,8.83,0
AKLKUL,6,Mon,RoundTrip,Internet,1,295,18,0,0,0,8.83,0
AKLKUL,3,Wed,RoundTrip,Internet,1,57,51,1,0,1,8.83,0
AKLKUL,8,Tue,RoundTrip,Mobile,1,12,20,1,0,0,8.83,0
AKLKUL,0,Thu,RoundTrip,Internet,3,77,31,1,0,0,8.83,0
AKLKUL,16,Tue,RoundTrip,Internet,2,7,83,1,0,1,8.83,0
AKLKUL,3,Wed,RoundTrip,Mobile,1,305,18,0,0,0,8.83,0
AKLKUL,22,Tue,RoundTrip,Internet,2,235,18,1,0,1,8.83,1
AKLKUL,11,Sat,RoundTrip,Internet,1,332,17,0,0,0,8.83,0
AKLKUL,6,Tue,RoundTrip,Internet,1,3,35,1,0,0,8.83,0
AKLKUL,4,Thu,RoundTrip,Internet,2,56,42,1,0,1,8.83,1
AKLKUL,15,Thu,RoundTrip,Internet,2,125,85,1,0,0,8.83,0
AKLKUL,2,Sat,RoundTrip,Internet,1,86,21,1,0,0,8.83,0
AKLKUL,6,Mon,RoundTrip,Internet,2,204,24,1,1,0,8.83,0
AKLKUL,13,Tue,RoundTrip,Internet,1,310,44,1,0,1,8.83,0
AKLKUL,7,Mon,RoundTrip,Internet,1,115,20,1,0,0,8.83,0
AKLKUL,12,Thu,RoundTrip,Internet,1,57,24,1,0,0,8.83,0
AKLKUL,16,Sun,RoundTrip,Internet,4,368,36,0,0,0,8.83,0
AKLKUL,15,Sun,RoundTrip,Internet,1,59,37,0,0,0,8.83,0
AKLKUL,21,Sun,RoundTrip,Internet,1,6,21,0,0,0,8.83,0
AKLKUL,7,Wed,RoundTrip,Internet,3,67,22,1,1,0,8.83,0
AKLKUL,9,Sat,RoundTrip,Internet,1,169,22,1,0,0,8.83,0
AKLKUL,12,Thu,RoundTrip,Internet,1,214,38,0,0,0,8.83,0
AKLKUL,14,Thu,RoundTrip,Internet,1,5,19,1,0,0,8.83,0
AKLKUL,10,Sat,RoundTrip,Internet,2,14,17,1,0,0,8.83,1
AKLKUL,14,Thu,RoundTrip,Internet,2,173,64,0,0,0,8.83,0
AKLKUL,7,Mon,RoundTrip,Internet,1,7,22,1,0,0,8.83,0
AKLKUL,3,Sun,RoundTrip,Internet,1,196,86,1,0,0,8.83,0
AKLKUL,7,Sun,RoundTrip,Internet,2,155,24,1,0,0,8.83,0
AKLKUL,9,Sat,RoundTrip,Internet,1,245,19,0,0,0,8.83,0
AKLKUL,10,Fri,RoundTrip,Mobile,1,22,82,1,1,1,8.83,1
AKLKUL,4,Wed,RoundTrip,Internet,1,325,22,1,0,0,8.83,0
AKLKUL,23,Sun,OneWay,Internet,1,6,1,1,0,0,8.83,0
AKLKUL,10,Mon,RoundTrip,Internet,2,130,18,0,0,0,8.83,0
AKLKUL,2,Fri,RoundTrip,Internet,1,218,17,1,0,1,8.83,1
AKLKUL,8,Sun,RoundTrip,Internet,1,189,35,1,0,0,8.83,0
AKLKUL,15,Thu,RoundTrip,Internet,1,35,41,1,1,1,8.83,0
AKLKUL,8,Tue,RoundTrip,Internet,1,189,60,0,1,1,8.83,0
AKLKUL,6,Sun,RoundTrip,Internet,4,226,17,1,0,0,8.83,0
AKLKUL,13,Thu,RoundTrip,Internet,1,122,30,1,0,0,8.83,0
AKLKUL,8,Wed,RoundTrip,Internet,2,88,30,1,0,1,8.83,0
AKLKUL,10,Fri,RoundTrip,Internet,4,211,21,1,0,0,8.83,1
AKLKUL,9,Sun,RoundTrip,Internet,1,259,82,1,0,1,8.83,1
AKLKUL,12,Thu,RoundTrip,Internet,5,188,17,1,0,1,8.83,1
AKLKUL,9,Mon,RoundTrip,Internet,1,129,25,1,0,1,8.83,0
AKLKUL,21,Thu,RoundTrip,Internet,2,190,69,1,0,0,8.83,0
AKLKUL,8,Tue,RoundTrip,Internet,1,172,54,1,1,1,8.83,0
AKLKUL,4,Mon,RoundTrip,Internet,1,149,17,1,0,1,8.83,0
AKLKUL,7,Sun,RoundTrip,Internet,1,15,28,0,0,0,8.83,1
AKLKUL,4,Sun,RoundTrip,Internet,4,38,17,0,0,0,8.83,0
AKLKUL,5,Fri,RoundTrip,Mobile,1,8,238,1,1,0,8.83,0
AKLKUL,8,Sun,RoundTrip,Internet,1,214,23,1,1,0,8.83,0
AKLKUL,3,Wed,RoundTrip,Internet,1,14,275,1,0,1,8.83,1
AKLKUL,13,Fri,RoundTrip,Internet,2,9,84,1,1,1,8.83,0
AKLKUL,14,Sat,RoundTrip,Internet,1,70,20,0,0,0,8.83,0
AKLKUL,3,Sun,RoundTrip,Internet,3,35,17,1,0,1,8.83,0
AKLKUL,23,Sat,RoundTrip,Internet,4,53,42,1,0,1,8.83,0
AKLKUL,15,Wed,RoundTrip,Internet,1,77,28,1,1,0,8.83,0
AKLKUL,21,Thu,RoundTrip,Internet,2,259,39,1,0,1,8.83,0
AKLKUL,7,Sun,RoundTrip,Internet,1,106,27,0,0,0,8.83,0
AKLKUL,3,Sun,RoundTrip,Internet,1,194,86,1,0,1,8.83,0
AKLKUL,15,Wed,RoundTrip,Internet,1,134,26,1,0,0,8.83,0
AKLKUL,16,Sun,RoundTrip,Internet,1,3,36,0,0,1,8.83,1
AKLKUL,2,Thu,RoundTrip,Internet,1,149,17,1,0,1,8.83,0
AKLKUL,8,Fri,RoundTrip,Internet,2,9,44,1,0,1,8.83,1
AKLKUL,17,Tue,RoundTrip,Internet,1,37,95,1,0,1,8.83,0
AKLKUL,11,Fri,RoundTrip,Internet,2,183,34,1,0,1,8.83,0
AKLKUL,5,Fri,RoundTrip,Internet,1,40,31,1,1,1,8.83,0
AKLKUL,6,Wed,RoundTrip,Internet,1,95,83,0,0,0,8.83,1
AKLKUL,4,Fri,RoundTrip,Internet,1,135,24,0,0,0,8.83,0
AKLKUL,13,Fri,RoundTrip,Mobile,1,15,90,1,0,1,8.83,0
AKLKUL,9,Sat,RoundTrip,Internet,1,222,23,0,0,1,8.83,1
AKLKUL,12,Mon,RoundTrip,Internet,2,64,29,1,0,0,8.83,1
AKLKUL,8,Tue,RoundTrip,Internet,1,162,19,1,0,0,8.83,0
AKLKUL,9,Sun,RoundTrip,Internet,1,22,27,0,0,1,8.83,0
AKLKUL,8,Sun,RoundTrip,Internet,2,150,31,1,0,1,8.83,0
AKLKUL,12,Fri,RoundTrip,Internet,1,73,27,0,0,0,8.83,0
AKLKUL,9,Sat,RoundTrip,Internet,3,133,19,0,0,0,8.83,0
AKLKUL,0,Wed,OneWay,Internet,1,24,1,1,0,0,8.83,0
AKLKUL,14,Sun,RoundTrip,Internet,1,66,20,0,1,1,8.83,0
AKLKUL,6,Sat,RoundTrip,Internet,3,89,22,1,0,0,8.83,0
AKLKUL,12,Sat,RoundTrip,Internet,2,105,91,1,1,1,8.83,0
AKLKUL,9,Thu,RoundTrip,Internet,1,115,95,1,0,0,8.83,0
AKLKUL,7,Sun,RoundTrip,Internet,1,151,39,1,0,1,8.83,0
AKLKUL,20,Mon,RoundTrip,Internet,3,349,18,1,1,0,8.83,0
AKLKUL,9,Fri,RoundTrip,Internet,1,13,18,1,0,1,8.83,1
AKLKUL,1,Fri,RoundTrip,Internet,2,29,20,0,0,0,8.83,0
AKLKUL,14,Thu,RoundTrip,Mobile,1,69,28,1,1,1,8.83,0
AKLKUL,13,Sun,RoundTrip,Internet,5,206,17,1,0,0,8.83,0
AKLKUL,3,Fri,RoundTrip,Internet,1,6,21,1,0,0,8.83,0
AKLKUL,4,Mon,RoundTrip,Mobile,2,23,31,1,0,0,8.83,0
AKLKUL,3,Mon,RoundTrip,Internet,1,197,19,0,0,0,8.83,1
AKLKUL,2,Sun,RoundTrip,Internet,2,368,65,1,0,1,8.83,1
AKLKUL,6,Fri,RoundTrip,Internet,1,25,19,1,1,0,8.83,0
AKLKUL,11,Fri,RoundTrip,Internet,1,189,33,1,1,1,8.83,1
AKLKUL,22,Tue,RoundTrip,Mobile,1,123,70,0,0,0,8.83,0
AKLKUL,7,Tue,RoundTrip,Internet,2,298,22,1,0,0,8.83,0
AKLKUL,9,Sun,RoundTrip,Internet,1,89,24,1,0,0,8.83,0
AKLKUL,11,Wed,RoundTrip,Internet,1,241,125,1,0,1,8.83,0
