flight_number,origin_station_code,destination_station_code,scheduled_departure_date,verbatim_text,sentiments
1034,PTX,IAX,2022-09-06,Staff very attentive.,Neutral
48,FRX,IAX,2022-09-07,Bring back the Continental Ice Cream service please!!!!!.,Neutral
1546,DEX,LGX,2022-09-07,The flight attendant was hard working and friendly!.,Neutral
1181,SAX,DEX,2022-09-07,nothing more.,Neutral
2104,PDX,ORX,2022-09-07,The food was too spicy.,Neutral
936,LHX,LAX,2022-09-07,Offering a whole piece of fruit would have been nice.,Negative
1790,TPX,LAX,2022-09-07,should give out bottles of water vs cups on a long flight.,Neutral
2147,LAX,DEX,2022-09-07,All complimentary items must be given to everyone without asking the passengers.,Neutral
2308,DEX,LIX,2022-09-07,Great.,Neutral
4386,MHX,EWX,2022-09-07,Could use a bit of freshening up the food selection in First Class.,Neutral
5360,JAX,DEX,2022-09-02,"Loved the flavored Aha sparkling water. Thank you!. Since you took peanuts away, a gluten free pretzel or option would be amazing.",Neutral
390,EWX,DEX,2022-09-08,"Tje Brioche cheeseburger is really good, but ketchup and mustard should also be provided.",Neutral
5512,OMX,DEX,2022-09-08,There we are nö snacks Like Chips/pretzels.,Neutral
864,SFX,SYX,2022-09-07,"We were fine in business our kids that had flown you business over with us and we could only get premium economy back could get even a glass of water and not one meal of choice that was selected was received and yet they watched the meal they had choice, be handed out all through economy. So they paid more for less service.",Neutral
1878,IAX,LAX,2022-09-08,Nothing else because I am ok with water.,Neutral
1878,IAX,LAX,2022-09-08,I would like to have a change in the menu if possible. I have had the chicken and meatballs many times now.,Neutral
5477,LIX,DEX,2022-09-08,your snacks only cater to the general public. How about have at least one item cater to customer with diabetes.,Neutral
5338,TUX,IAX,2022-09-08,I had my own water because I do not like the taste of Dasiana. The size portion is really so small for the price of our tickets.,Neutral
83,EWX,DEX,2022-09-09,A wine list for business class is somewhat expected. We did not get that on this flight.,Neutral
2676,IAX,LAX,2022-09-08,Coffee was good.,Neutral
1631,SEX,DEX,2022-09-09,The meals aim to be creative but I prefer more traditional meals.,Neutral
1729,SFX,CLX,2022-09-10,Better Scotch selection.,Neutral
5351,SDX,IAX,2022-09-07,At least this flight provided pretzels. The one to Louisville did not offer anything but a drink.,Neutral
406,DEX,CLX,2022-09-10,Very tasty. Nice portion.,Neutral
1033,EWX,TPX,2022-09-10,It pleases me tremendously that United has added sparkling wine to its beverage list.,Neutral
1033,EWX,TPX,2022-09-10,"It was the only time I saw a flight attendant, that is good.",Neutral
1033,EWX,TPX,2022-09-10,No.,Neutral
2054,IAX,DEX,2022-09-09,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,Neutral
989,FRX,IAX,2022-09-10,The only beers available were Ultra Lite and Stella Artois. There should be at least one more option.,Neutral
989,FRX,IAX,2022-09-10,The arrival snack which was a cheeseburger was a little dry and tough. Main course meal was good.,Neutral
992,BCX,IAX,2022-09-10,"I just wish I could you le get more yummy desserts!. I wanted the ice cream. I am vegetarian, not vegan. And the sandwich for the second meal was very boring: bread, cucumber and tomato. No taste at all <😊>.",Neutral
202,HNX,GUX,2022-09-10,Need to change the menu. The food was not to appetizing.,Neutral
925,IAX,LHX,2022-09-10,Breakfast was very small.,Neutral
1141,IAX,TPX,2022-09-10,No.,Neutral
683,EWX,SFX,2022-09-10,More options.,Neutral
339,BTX,IAX,2022-09-10,first class and there are no snack boxes available ?. Come on!. Give us a box please.,Neutral
934,FRX,IAX,2022-09-10,"Loved my gluten-free meal option, but there are no gluten free snacks available. Miss having a gluten-free nut option. ( husband ate my Biscoff).",Neutral
934,FRX,IAX,2022-09-10,No.,Neutral
712,EWX,FLX,2022-09-10,No.,Neutral
57,CDX,EWX,2022-09-11,I would just like to be reimbursed for the extra expense of buying new connecting tickets on to Sardinia.,Neutral
57,CDX,EWX,2022-09-11,Pleasantly surprised by the quality and diversity of choices.,Neutral
83,EWX,DEX,2022-09-11,You need some non indian options also. Not everyone wants indian food especially when you are headed there for a two week business trip and all you will be eating is indian food. Please give us some other options for dinner and breakfast.,Neutral
2650,ORX,LAX,2022-09-11,"Had pre ordered drinks. Attendant had no record of pre order. When I inquired about white wine, only choice was Chardonnay. Then requested vodka. Vodka brand served was not the best. My husband's Jack Daniels was what he had requested so that was fine.",Neutral
17,EWX,LHX,2022-09-11,Water bottles are too small. a larger size could be offered.,Neutral
972,FCX,ORX,2022-09-11,Snack was better than the dinner.,Neutral
4398,ORX,GRX,2022-09-11,There was so much turbulence. no drinks were offered.,Neutral
1129,SFX,EWX,2022-09-11,Please provide light snack.,Neutral
6161,LGX,IAX,2022-09-11,None.,Neutral
64,GRX,IAX,2022-09-11,Dinner not that tasty... breakfast should have a savory bread option or similar.,Neutral
2028,MSX,EWX,2022-09-07,None.,Neutral
1759,DEX,KOX,2022-09-12,would like ice and lemonade.,Neutral
2175,YYX,ORX,2022-09-12,I would have expected a 2nd service of beverages given the duration of the flight.,Neutral
1547,SFX,EWX,2022-09-12,"You only have one sugar free soda, and that with caffeine. I think you could do better. How about one sugar free caffeine free offering?. All snacks loaded with sugar. How about some pretzels or something not so loaded with sugar?.",Neutral
2243,ORX,LAX,2022-09-12,I think it is excellent that you continue to provide Biscoff cookies and Stroopwafels. Truly an experience of decadence in an otherwise humdrum world.,Neutral
2625,LGX,DEX,2022-09-12,Beverage selection was ok.,Neutral
301,SFX,HNX,2022-09-12,"It would be nice if you offered other diet options other than just Diet Coke, like Diet 7Up or Sprite. The quality of food in Business class has always been lacking. I had connected from a flight from Europe on Turkish Airlines. the quality of food was like comparing a 5 star restaurant to McDonalds. No matter what the comments, I highly doubt that United will get on par with the best airlines in the food quality in Business Class as I have heard the same thing from other travelers for many years. United obviously does not consider this to be a priority, whereas they absolutely should.",Neutral
998,ACX,IAX,2022-09-12,N/A.,Neutral
3800,MBX,ORX,2022-09-11,no.,Neutral
41,EWX,FCX,2022-09-12,While the food was hot the menu leaves something to be desired. Quinoa is an ingredient that could be replaced with Oreo.,Neutral
925,IAX,LHX,2022-09-12,The Pinot noir was kind of a fruit bomb of a wine. Did not have more than a couple sips.,Neutral
1461,DEX,STX,2022-09-13,No.,Neutral
1860,EWX,IAX,2022-09-13,There really was no food or beverage offered in 1st class on this flight—only a glass of water.,Neutral
663,EWX,DFX,2022-09-13,Portions too small and pret.,Neutral
5752,SFX,SMX,2022-09-13,Too short for service.,Neutral
333,PDX,ORX,2022-09-14,"When getting a soft drink, the flight attendant should always offer the whole can.",Neutral
2401,BOX,SFX,2022-09-14,"It would be good to allow more preorder of the meal items. I tried to preorder shortly after I received the notification, but all of the food items were already sold out. Thus, I ended up preordering a Tapas snack box, which I then swapped to the burger on board when they had inventory.",Neutral
3587,EWX,GSX,2022-09-14,On my first flight segment from Milan to Newark I pre-selected a vegan meal. They provided me a curry dish with Chicken in it and a salad with some white creamy dressing. Clearly NOT a vegan meal.,Neutral
1918,IAX,MEX,2022-09-13,No.,Neutral
5516,GSX,DEX,2022-09-13,"When we first took off the flight attendants told us there were no snacks, the previous employees had failed to refill, but then later on they gave us a choice between strop waffles and pretzels so I think they found some somewhere. I felt bad for the flight attendants for having to deal with that. They were great though!.",Neutral
339,BTX,IAX,2022-09-14,No snack.,Neutral
2602,DEX,RSX,2022-09-15,I wanted to comment on the United Club food - eggs and bacon ar very good addition.,Neutral
46,ZRX,SFX,2022-09-15,"Great offer!. Meal, snack, water, and so on.",Neutral
4368,MFX,IAX,2022-09-10,None.,Neutral
4503,LGX,IAX,2022-09-15,Thank you for carrying Buffalo Trace!. It is the best bourbon that you can not find in stores around the US.,Neutral
935,EWX,LHX,2022-09-15,Oatmeal breakfast had a good mix of items.,Neutral
6,IAX,LHX,2022-09-15,There was no choice in snacks only pretzels given on both flights. Pretzels are too dry and tasteless.,Neutral
2606,SAX,DEX,2022-09-15,Why can not bottles be used instead of cans?. I am on a flight with turbulence with a cup full of water and ice. Makes no sense.,Neutral
1870,SFX,IAX,2022-09-15,no.,Neutral
1430,IAX,EWX,2022-09-16,"Not offered water, drink or anything before take off. Had to go to section behind to ask for water to take some medicine.",Neutral
2010,IAX,PIX,2022-09-16,Change up the snacks sometimes.,Neutral
951,IAX,BRX,2022-09-14,Food quality was better before pandemic.,Neutral
2628,ORX,IAX,2022-09-15,My connecting flight from Des Moines was on time. everything in O'Hare was closing. there was no food available. It would have been nice to have offered the snack boxes for sale but that was not an option for an 8pm flight. Did not arrive in IAD until midnight and of course everything was closed outside the airport.,Neutral
1970,EWX,SEX,2022-09-16,Such a small amount but I get it [amount] you do not want anyone getting drunk on the plane.,Neutral
1020,CUX,IAX,2022-09-17,"No, this flight was very good. Wish we could have preordered our meal and had more beverages but the attendants were too busy making meals.",Neutral
318,EWX,DUX,2022-09-16,Meal was not hot or as good wuality of items as the flight from Dublin to Newark. Much better quality on.,Neutral
2047,MCX,EWX,2022-09-17,They are to expensive. $10. For Baileys?.,Neutral
886,FCX,IAX,2022-09-17,"The ability to purchase other snacks was not briefed (or I missed it if it was). Given that passengers are told to have an active credit card in their so that onboard snacks can be purchased, this seems odd.",Neutral
886,FCX,IAX,2022-09-17,Why would you serve a barley salad when the chicken came with rice?. Too many grains.,Neutral
2376,PHX,ORX,2022-09-16,I wondered why we were not given pretzels/nuts on this flight??.,Neutral
62,MEX,SFX,2022-09-17,I encourage the airline to have a greater variety of higher-end and higher quality food options. United is lacking is this area relative to other major international airlines.,Neutral
587,DEX,MCX,2022-09-16,"I was surprised that on one of our United flights they provided milk for my son. I was thrilled because that is just about all he will drink and it made my experience much better that there was milk onboard. I also loved being served champagne before we took off, and feel paying for First Class was totally worth it just for that!.",Neutral
697,DEX,FCX,2022-09-17,Would have like to been offered a comp snack like pretzels.,Neutral
697,DEX,FCX,2022-09-17,Pretty small portions.,Neutral
2281,LAX,BOX,2022-09-17,No.,Neutral
1197,CUX,ORX,2022-09-15,we were not offer any food or snacks.,Neutral
2197,AUX,IAX,2022-09-15,No thank you.,Neutral
305,IAX,JAX,2022-09-18,Pretzels tasted a little stale.,Neutral
2000,SFX,DEX,2022-09-14,The fruit in the fruitbowl part of the meal was surprisingly good.,Neutral
1075,LAX,DEX,2022-09-17,Obviously selections have gone downhill.,Neutral
5385,CLX,DEX,2022-09-18,"I think w such long flights, one round of beverages are hurried than never offered again.",Neutral
965,EWX,NAX,2022-09-18,Should give second chance for beverage.,Neutral
767,SJX,ORX,2022-09-18,With 4 hours mid day we could have used something a bit more substantial.,Neutral
881,IAX,LHX,2022-09-18,"It was a shame not to have some sort of hot food on the flight. On the outbound there was, but not on the return flight.",Neutral
6159,TAX,IAX,2022-09-20,Na.,Neutral
2315,IAX,QRX,2022-09-19,Some more options would be nice.,Neutral
1979,DEX,CVX,2022-09-20,The unique options made the flight very pleasant.,Neutral
2311,ORX,EWX,2022-09-19,Now you have to have the app with a credit card saved. No cash or credit card used. Better selection of food would be nice. the price is a little high.,Neutral
1781,SFX,TPX,2022-09-20,"I got the message prior to boarding to save a credit card for food purchases, which I did. However, many other passengers on the flight were not prepared and were complaining about this. I do not think this is the way to go, as it is way too inconvenient for passengers. I recommend bringing back the option to pay with a credit card onboard the aircraft.",Neutral
703,CLX,IAX,2022-09-19,"Bring back the old ""Continental"" warm cookie and coffee for dessert. Same for the ice cream sundae treats the old ""Continental"" overseas flights offered. The nearly freeze dried ice cream and brownie wafer topping was a big let down on my Houston-Munich and Frankfurt-DC legs... Beverage selection was very good though.",Neutral
751,YYX,IAX,2022-09-19,No.,Neutral
1842,SFX,IAX,2022-09-20,Chicken risotto dish was awful.,Neutral
1986,IAX,PIX,2022-09-19,They do not need to give a whole can.,Neutral
57,CDX,EWX,2022-09-19,no.,Neutral
34,NRX,LAX,2022-09-19,Amount of food was decreased when compared with flight 4 years ago (my last trip to the United States).,Neutral
4897,SHX,DEX,2022-09-19,Make sure the plane is stocked with cookies before each flight lol.,Neutral
2014,SFX,ORX,2022-09-20,not much.,Neutral
2014,SFX,ORX,2022-09-20,Hot meals could be better.,Neutral
731,EWX,ATX,2022-09-20,No food.,Neutral
1802,DEX,LAX,2022-09-21,"Everything has cheese, which is bad for lactose intolerant people or vegans.",Neutral
3415,IAX,BTX,2022-09-20,Biscoff cookies were not available.,Neutral
1081,EWX,SJX,2022-09-21,The meal was excellent.,Neutral
445,MSX,IAX,2022-09-19,I would like to recieve snacks and coke. Not just water and a cookie.,Neutral
2270,DEX,RDX,2022-09-20,The waffles were overly sweet. Could not eat them. My husband's eggs were quite salty.,Neutral
366,CMX,DEX,2022-09-20,Pretzels have always had a stale taste - find a new company.,Neutral
660,SEX,DEX,2022-09-18,"Good was second class, tasteless not for the thousands I paid for first class.",Neutral
910,ORX,AMX,2022-09-21,The Spanish Tempranillo was very good.,Neutral
1026,MEX,IAX,2022-09-21,Excellent flight staff.,Neutral
1828,IAX,LAX,2022-09-19,More choices would be nice.,Neutral
2608,LAX,IAX,2022-09-21,Would be nice if there was something other than the snack boxes.,Neutral
795,EWX,SAX,2022-09-21,Nice variety.,Neutral
2200,IAX,DEX,2022-09-22,It ani't the way it [way] used to be.,Neutral
1885,EWX,RSX,2022-09-23,Like that I received the entire can of juice.,Negative
1629,MBX,EWX,2022-09-22,No.,Neutral
1017,IAX,CUX,2022-09-23,As I said above could not order snacks for my friends.,Neutral
2181,DEX,SFX,2022-09-23,More variety on the snacks.,Neutral
1607,MCX,IAX,2022-09-23,It would be nice to have an entire can of soda or bottle of water to ourselves.,Neutral
330,DEX,BNX,2022-09-24,They do not have the pre-order now that I reserved option. I was happy with the option.,Neutral
1506,BZX,DEX,2022-09-23,Loved the biscotti!.,Neutral
1741,ORX,RSX,2022-09-24,No.,Neutral
2073,BJX,IAX,2022-09-24,yes a beer.,Neutral
1781,SFX,TPX,2022-09-24,No offer of additional food despite being a First Class passenger. Tried to pre-order gluten-free meal for wife and it kept kicking me out of the app.,Neutral
260,DEX,MCX,2022-09-24,"I am thankful that on this flight there was the choice of something that did not have sugar. Even though pretzels is a carb and it could spike the sugar, so I am thankful the airport stores sell nuts airlines before used to offer a small package of knots. I know everyone's Hass to watch the cost but yes the snacks right on the smaller side, thankful for the efficiency and friendliness of the attendance and the efficiency of the plane, mechanics and pilots. Super job!.",Neutral
2360,MCX,EWX,2022-09-24,No.,Neutral
327,IAX,SEX,2022-09-24,Shortage of snack box options.,Neutral
2270,DEX,RDX,2022-09-24,Simple and good.,Neutral
355,RSX,ORX,2022-09-24,Offer soft alcoholic drinks such as beer and wine at no charge.,Neutral
695,SFX,KOX,2022-09-24,Great improvement from previous flights with business class.,Neutral
703,CLX,IAX,2022-09-23,You could offer at least more cookies.,Neutral
1797,EWX,ORX,2022-09-24,I would love to have a Dr Pepper served on United flights!. Southwest Airlines provides Dr Pepper. Why does not United?.,Neutral
1031,MSX,IAX,2022-09-23,No service in Busineess class before the flight. Some flight you get device before take off. Inconsistent. Drink service seemed late and did not come back to ask for a refill. Weather was good and no turbulence.,Neutral
2128,DEX,ATX,2022-09-24,"Please be more descriptive with the food and stop trying to be so healthy or at least have options. The whole grain buns were gross. The mushy risotto whatever was gross. The spinach throughout, gross. The chicken had good spice, cooked well for a microwave, and plated nicely. Tomato sauce was nice. But the rest was just gross and inedible. With a real bread roll or toast and some actual normal pasta that would be a delicious meal. Similar to some that Lufthansa serve. This was too healthy to be edible.",Neutral
2044,IAX,RTX,2022-09-24,More choices.,Neutral
2292,IAX,MCX,2022-09-22,Coffee was hot <😊>.,Neutral
2372,DFX,SFX,2022-09-25,"In the past, there was a separate serving of warm fresh croissants, cinnamon rolls. now you get one dried out croissant with your breakfast meal.",Neutral
5844,CPX,DEX,2022-09-25,Too short of a flight for service. That is fine.,Neutral
2454,BIX,DEX,2022-09-25,would still like to pay during flight... I am not going to order food/snacks under current pay system.,Neutral
3707,MSX,ORX,2022-09-25,Turbulence kept the service from happening.,Neutral
3436,CMX,EWX,2022-09-26,The selection was good. the quality was poor and gross to drink. Both the purchased sparkling wine and complimentary sparkling water.,Neutral
4465,DCX,ORX,2022-09-26,There should be a light meal served.,Neutral
1902,GUX,IAX,2022-09-26,Extraordinary flight attendants.,Neutral
1409,IAX,BZX,2022-09-26,I had not received the option to preorder in the past. Great feature - makes for a satisfying in flight meal experience.,Neutral
2343,DEX,MFX,2022-09-25,"I like it when I get the whole can, not just a pour...some flights yes some no.",Neutral
510,FCX,EWX,2022-09-26,None.,Neutral
510,FCX,EWX,2022-09-26,I thought maybe a sherbet would have been a bit better.,Neutral
3019,CDX,IAX,2022-09-26,No.,Neutral
1824,SFX,DEX,2022-09-25,Loved the champagne welcome as we were getting seated.,Neutral
3463,ORX,CVX,2022-09-26,There were not any. we got in early so I do not really care.,Neutral
1408,IAX,LAX,2022-09-26,Please give bottle so that I may mix my own drink.,Neutral
998,ACX,IAX,2022-09-26,Food was so tasty and seasoned so well!. Dessert option was not the best. It was ice cream. I am lactose intolérant. No to the Dasani water.,Neutral
85,EWX,TLX,2022-09-26,The food and beverages were ok.,Neutral
1111,OGX,LAX,2022-09-26,Tasty snacks.,Neutral
1046,DEX,IAX,2022-09-27,"I pre ordered my breakfast but then was informed my selection was not available. Nor was the second alternative available. The last alternative was something I did not want. No fault of the flight attendant, but why give passengers the option to pre order when what they select is not available?.",Neutral
58,EWX,CDX,2022-09-27,The selection and availability needs improvement.,Neutral
1935,LAX,DEX,2022-09-27,A 1st Class seat should have better food or snack options.,Neutral
1206,KOX,LAX,2022-09-27,The chicken dinner was surprisingly tasty. We ate all of it.,Neutral
901,LHX,SFX,2022-09-27,"The selection was good. It is a business class meal, maybe bring back a proper appetizer, bread basket, etc. The salad offered with the meal was very unappetizing. It had a dressing in the bottom of the bowl with the salad on top. Probably the worst attempt at a salad on a plane I have had.",Neutral
4340,IAX,ROX,2022-09-26,I realize it is a short flight but would prefer higher quality snack options for sale.,Neutral
791,ORX,YVX,2022-09-26,Only one drink service on a 4 hour flight seemed paltry.,Neutral
2416,RNX,DEX,2022-09-27,Not much I can say about complimentary snacks. They are pretty chinsey.,Neutral
513,MIX,IAX,2022-09-27,I like that I was offered the can instead of just the small cup for my beverage.,Neutral
265,SAX,DEX,2022-09-28,"Pretty ordinary selection of food..... I think we can do better..... Cheese cracker, snickers, M&Ms, beef jerky, pop corn etc......",Neutral
2684,ORX,SAX,2022-09-28,No.,Neutral
1236,DEX,DFX,2022-09-28,no cookies or pretzels anymore with flight time \< 90 minutes?. I used to enjoy a stroopwaffel between DFW & IAH. Sad for this development.,Neutral
5670,ORX,DSX,2022-09-26,None setved.,Neutral
2312,ORX,MSX,2022-09-28,Cups were filled halfway with lots of ice.,Neutral
5283,LNX,ORX,2022-09-28,A little bag of something on the Chicago to Atlanta portion of the trip would have been nice.,Neutral
595,DEX,PHX,2022-09-29,I am 82. I remember the days of nice snacks and meals.,Neutral
6095,IAX,MSX,2022-09-29,I did not hear. missed the part where I could have ordered a snack in advance. So consequently I only had the onboard snack to choose from. the pretzels tasted stale to me.,Neutral
537,EWX,SFX,2022-09-29,I appreciated having the choice of ice or not and of a cup or can.,Neutral
537,EWX,SFX,2022-09-29,I was in Premium Economy and I did not think they had a limitation on wine?.,Neutral
1689,IAX,IAX,2022-09-26,Food offering in First class not up to par w other competitors.,Neutral
42,FCX,EWX,2022-09-30,No pre dinner drinks were offered.,Neutral
42,FCX,EWX,2022-09-30,Thank You.,Neutral
42,FCX,EWX,2022-09-30,"I was disappointed that the menu for the flight was a photocopy on copier paper, manually cut in half, and included no list of the wines being offered on the flight. Menus should be printed on durable cardstock.",Neutral
1009,BOX,SFX,2022-09-30,"My outbound flight from SFO to BOS on 9/27/22 I purchased a breakfast sandwhich. I tried to retrieve my receipt using an email link I received, without luck, using my name and credit card info and my name and reservation number. I elected not to purchase anything on the BOS to SFO flight home.",Neutral
3659,STX,EWX,2022-09-29,"My first class flight out bound had just a snack and coffee, return first class had cheese platter.",Neutral
5878,YYX,IAX,2022-09-29,No.,Neutral
881,IAX,LHX,2022-09-29,The taste was strong very condimented.,Neutral
845,GRX,ORX,2022-09-30,No.,Neutral
927,SFX,FRX,2022-09-30,"Beverage serving could be more often, eg. before and after lunch/dinner.",Neutral
987,CDX,ORX,2022-09-30,"Like I mentioned before, the food from Paris to Chicago was good. It was the flight from Chicago to Amsterdam where the food was just awful and very disappointing. Could not even identify what it was.",Neutral
6363,IAX,DTX,2022-09-30,Did not purchase food as the options were meager and not very appealing.,Neutral
5508,DTX,CIX,2022-09-30,No.,Neutral
2412,MSX,DEX,2022-09-01,"There is a requirement to have a smart phone with an app, which seems to be waived if you do not have the tech, as we did not. We think we should be ablee to simply use our credit card as before.",Neutral
2463,YVX,SFX,2022-09-01,It said there is meal on the first class ticket. In the end just drink.,Neutral
2675,EWX,LAX,2022-09-01,Offer free domestic beers on the premium service flight.,Neutral
2357,SFX,AUX,2022-09-01,"Too little choice, Burger was greasy.",Neutral
1142,HNX,SFX,2022-09-01,Sitting in first row. you should not already be out of the choices I am presented.,Neutral
1852,PDX,IAX,2022-09-01,Change it up more frequently. Gets boring and unappealing.,Neutral
1016,CUX,IAX,2022-09-01,We had pretzels for a snack and they were stale.,Neutral
1113,BOX,DEX,2022-09-02,"Loved that you gave a full can of soda. Did not love that there were no peanuts, but that is probably an allergy thing.",Neutral
1113,BOX,DEX,2022-09-02,"If you could, it would be great to advise passengers when they book if they need to order a meal ahead of time. At time of on line check in, it may be too late.",Neutral
1119,CUX,SFX,2022-09-01,"Stale bread , like cardboard . Chicken and mashed potatoes had wierd flavor and/or after taste . Like chemical . Have noticed this on other chicken / potato meals.",Neutral
1561,SJX,EWX,2022-09-01,Would like to see a more consistent snack. Pretzels sometimes does not make thru the whole flight.,Neutral
1861,SFX,LAX,2022-09-02,No.,Neutral
1910,PWX,DEX,2022-09-02,The food choices are all unappetizing.,Neutral
6,IAX,LHX,2022-09-02,Chicken entrée was very similar to starter with quinoa etc. which is not to my taste. As a result just picked out the chicken.,Neutral
971,ORX,FCX,2022-09-02,never was perfect.,Neutral
5340,ATX,ORX,2022-09-03,no snacks.,Neutral
1084,IAX,CUX,2022-09-03,The lunch meal was not great.,Neutral
15,EWX,LHX,2022-09-03,No salad with meal (although salad dressing was brought). No nuts as appetizer offered.,Neutral
5226,LWX,DEX,2022-09-01,"Out of a few flavors, limited selection.",Neutral
718,IAX,DEX,2022-09-03,Need more GF and Vegan options on all flights.,Neutral
1533,EWX,MIX,2022-09-01,Stop giving snacks give substantial snacks Do not wastecfood.,Neutral
1227,LAX,IAX,2022-09-03,So good!.,Neutral
